name,email
Kalyan Silks,customerservice@kalyansilks.com
Pothys,keralaenquiry@pothys.com
Nalli Silks,eshop@nalli.com
Seematti,shop@seematti.com
Jayalakshmi Silks,customercare@jayalakshmi.in
Reliance Trends,customerservice@ril.com
Zudio,zudiohelp@trent-tata.com
Zudio,zudio.rba@trent-tata.com
Max Fashion,help@maxfashion.in
Pantaloons,customercare@abfrl.adityabirla.com
Westside,westside@trent-tata.com
Westside,westside.rba@trent-tata.com
Soch,support@soch.com
Fabindia,support@fabindia.net
H&M,customerservice.in@hm.com
Zara,contact.inditex@zara.com
Uniqlo,customer-care@uniqlo.com
Lifestyle Stores,help@lifestylestores.com
Levi's,customercare@levi.in
Adidas,service@onlineshop.adidas.co.in
Puma,customerservice.us@puma.com
Puma,customerservice@puma.com
Decathlon,care.india@decathlon.com
Skechers,info.india@skechers.com
Malabar Gold & Diamonds,care.ae@malabargoldanddiamonds.com
Malabar Gold & Diamonds,customercare.intl@malabargroup.com
Joyalukkas,b2bindia@joyalukkas.com
Joyalukkas,care@joyalukkas.com
Kalyan Jewellers,info@kalyanjewellers.net
Bhima,support@bhimagold.com
Josco,office@joscogroup.com
Tanishq,ecomsupport@titan.co.in
CaratLane,contactus@caratlane.com
CaratLane,b2b@caratlane.com
Thangamayil,shop@thangamayil.com
Thangamayil,care@thangamayil.com
Lulu,info@lulu.in
More,hello@more.in
Spencer,somasree.adhikari@rpsg.in
Bismi,info@bismigroup.net
Nilgiris,customercare@nilgiris1905.com
McDonald's,info@mcdonaldsindia.com
Dominos,guestcaredominos@jublfood.com
Subway,partner@subway.in
Taco Bell,contact@burmanhospitality.com
Popeyes,wecare@popeyes.in
Starbucks,customercare@tatastarbucks.com
Cafe Coffee Day,customercare@cafecoffeeday.com
Cafe Coffee Day,bd@cafecoffeeday.com
Barista,information@barista.co.in
Barista,distribution@barista.co.in
Barista,leads.franchise@barista.co.in
KFC,guestcareindia@yum.com
Burger King,care@burgerking.in
Baskin Robbins,feedback@gravissgroup.com
Wow Momo,feedback@wowmomo.com
Reliance Digital,reliancedigital@ril.com
MyG,sales@myg.in
Vivo,service@vivoglobal.com
Oppo,support.in@oppo.com
OnePlus,onepluscare@oneplus.com
Samsung,support.india@samsung.com
Samsung,business.in@samsung.com
Apple (Imagine),imagineonline.store@ample.co.in
Apple (Imagine),support@imagineonline.store
Apple (Unicorn),sales@uipl.co.in
Urban Ladder,hello@urbanladder.com
Titan World,customercare@titan.co.in
Titan Eye+,cs@titaneyeplus.com
Bata,in-customer.service@bata.com
Bata,cx-india@bata.com
Godrej Interio,info@godrejinterio.com
Sleepwell,care@sleepwell.com
Dits Furniture,info@ditsfurniture.com

